cursor 光标
directory 目录
character 字符
specify 指定
record 记录
margin 边缘
field 字段
proceduce 进程
related 相关的
area 域
parameter 参数
variable 变量
contain 包含
position 位置
task 任务
default 缺省
structure 结构
erase 删除
colum 列
prompt 提示
execute 执行
extension 拉伸
status 状态
argument 自变量
statement 陈述
scrool 滚
replace 替换
macro 宏
reference 参考
pressiong 压制
restore 复原
decimal 十进制的
defintion 定义
optional 可选的
arrow 箭头，指针
lable 标签
issue 出版，发行，流出
within prep.以内
aciliable 可用的
associate 关联，联想
attribute 属性，标志
order 指令
modify 修改
locate 定位
bar 条
buttom 底部
carriage 滑架，拖架
content 内容
scope 范围，显示器
multi 多
subset 子设备
expression 表达式
through 通过
toggle 触发器
call 调用
indicate 指示，表示
swap 交换
remain 剩下
combination 结合
profile 简要
section 节，段，区域
split 分离
access 存取，选取
adtional 附加的
case 情况，场合
entire 完全的
leave 留下，离开
reflow 回流
assign 赋值，分配
confirmation 认可
wheter 无论
abbreviate 缩写
delimiter 分界符
perform 执行，完成
graphic 图形
confirm 确认
sort 排序，分类
extend 扩充
original 起始的
correspond 通信
property 性质，特征
barcket 括号
omit 省略
instruction 指令
below 低于
standard 标准
lock 锁
variety 变化，种类
carry 进位
overlay 覆盖
navigitiong 导航
previous 早先的，上述的
unique 唯一的
internal内部的
determine 确定
condition 条件
assigned 指定的，赋值的
cahrpter 章节
complete 完整的
past 过去的
match 比较
sign 符号
recall 撤销
fixed 固定的
amount 总计
alias 代号，标记，别名
quote 引号
modfication 改变
uupercase 大写字母
force 强制，压力，强度
environ 围绕，包围
insted 代替
wildcard 通配符
spill 溢出
memo 备忘录
prior 优先的，先验的
round 舍入
square 正方形
supply 电源
moudle 模块（程序）
demonstration 演示
evaluate 求值
template 模板
scheme 方案，计划，图
refer 引用
syntax 语法，句法
addrevivation 简称
minus 负数
collapse 崩溃，破裂
corner 角落
interpret 解释
froward 正向的
slash 斜线
utility 实用程序，实用性
regardless 不考虑的，不在意的
compatable 可兼容的
depend 取决于
branch 分支
resume 重新开始
mutilple 多次的
batch 批，成批
exact 正确的
eject 弹出
sequence 顺序
consist 符合
count 计数，计算
vaild 有效的
suspend 挂起，暂停
enchan 增强，夸张
echo 回波，反射波
comment 注释
reorder 排序
direct 直接的
row 行
press 压缩
temporary 暂时
relation 关系
boundary 边界
zoom 边焦距
initialize 初始化
convent 转换
global 全局的
installation 安装
invoke 请求，调用
interactive 交互式的
describe 被看到的
literal 文字的
exclusive 排斥
appropriate 合适的
fit 合适，装配
filter 滤波器
backward 向后，倒
dual 双的
immediately 直接的
separate 分开的
equivalent 相等的
per 每
mirror 镜子，反射
keypad 小键盘
resident 驻留的
summary 摘要
identify 识别，辨认
designnated 指定的，特定的
pertain 属于
expansion 展开，展开式
incompatible 不兼容的
blinking 闪烁
percede 先于
readily 容易的，不勉强的
transportable 可移动的
appropriate 适当的
routline 程序，例行程序
contact 接触，触点
manual 手动
particular 特别的
assmbly 汇编
retrieve 检索
digit 数字，位数，位
reverse 反向的，逆
reindex 变换，改变符号
feed 馈给，（打印机）进纸
complie 编译
state 状态，确定
tick 勾号(√）
intense 强烈的
astersisk 星号
assumed 假定的
permit 许可
symbol 符号
binary 二进制
reach 范围，达到范围
subtotal 小计
general 通用的
associated 联合的
partition 分区
hexadecimal 十六进制
generate 产生，发生，生成
specification 说明书
customize 定制
nest 嵌套，先进后出
duplicate 复制，转录，加倍
alternately 交替的，轮流的
intersity 亮度
reading 读数
sector 扇区，段
vertical 垂直
horizontal 水平
terminate 终端
drag 拖
underscore 下划线
intergrate 综合，集成
period 周期
trailing 结尾，尾随的
seek 查找
indent 缩排
attempt 尝试
subscript下标，脚注
correction 校正
rating 定额，标称值
colon 冒号
avoid 无效，取消
range 范围
allocate 分配
verify 校验，核对
mannner 样式，方法，惯例
direction 方向
emulator 仿真器
achieve 完成，实现
dalay 延时
spliting 分区（裂）
feature 特征
console 控制台
invalid 无效的
dot 点
asynchronous 异步的
wrap 包装
queue 排队
interrupt 打断
hyphen 连字符
serial 串行的
retain 保持
intend 计算
explanation 说明，注释
archive 归档
negative 负的，否定的
deactivate 释放，去活化
maintain 保养，维护
gather 聚集
relative 相对的
rent 租用
proper 真的
increase 增加
pending 未定的
divide 除
lead 领导
opposite 相反的
rest 剩余
parentheses 括号
flush 弄平
consecutive 连续的
prefix 前缀
recoginze 识别
route 识线，路由
respectively 分别
navigate 导航
due 到期的，应付给
descend 下降，落下
alter 改变
track 轨道，磁道
precenduce 优先权
skeleton 框架，构架
accessible 可替换的
involve 卷入，占用，涉及
declare 申明 陈述
aline 排列
expire 终止，期满
resoutiong 分辨率
critrical 临界的，临界值
border 边界
reduce 减少
substitute 替换
positive 正的
instance 例子
absort 中断
exceed 超过，大于
reserve 保留，约定
clockwise 顺时针的
eliminate 除去
actual 实际的
indicator 指示器
instruct 讲授，命令
appendix 附录
inhibit 禁止
regsiter 寄存器
stuff 材料，装入
exclude 排除，除去
lexical 辞典的，语法的

